second,bot,staleness_ms_p50,staleness_ms_p95,staleness_ms_max,recv_rate,send_rate
284,botA,0.264,0.812,1.664,36,36
284,botB,0.282,0.797,1.742,36,36
285,botA,0.273,0.674,1.542,36,36
285,botB,0.311,0.764,1.657,36,36
286,botA,0.25,0.678,1.526,36,36
286,botB,0.369,0.999,1.703,34,36
287,botA,0.31,0.806,1.55,36,36
287,botB,0.324,0.676,1.385,38,36
288,botA,0.251,0.464,0.503,36,36
288,botB,0.266,0.876,1.626,34,36
289,botA,0.252,0.657,1.566,36,36
289,botB,0.268,0.56,1.649,38,36
290,botA,0.304,0.751,1.527,36,36
290,botB,0.379,0.824,1.769,36,36
291,botA,0.3,0.996,1.972,36,36
291,botB,0.444,0.925,1.738,36,36
292,botA,0.253,0.396,0.539,36,36
292,botB,0.264,1.758,1.956,36,36
293,botA,0.244,1.51,1.647,36,36
293,botB,0.304,0.422,0.478,36,36
294,botA,0.239,0.668,1.656,36,36
294,botB,0.31,0.733,1.558,36,36
295,botA,0.262,0.615,1.546,36,36
295,botB,0.286,0.739,1.304,36,36
296,botA,0.211,0.759,1.842,36,36
296,botB,0.254,0.834,1.672,36,36
297,botA,0.244,0.721,1.661,36,36
297,botB,0.281,0.731,1.606,36,36
298,botA,0.239,0.662,1.476,36,36
298,botB,0.331,0.802,1.83,36,36
299,botA,0.235,0.66,1.6,36,36
299,botB,0.284,0.77,1.561,36,36
300,botA,0.2,0.408,0.637,36,36
300,botB,0.237,1.593,1.732,36,36
301,botA,0.258,1.523,1.535,36,36
301,botB,0.29,0.389,0.402,36,36
302,botA,0.243,0.285,0.291,36,36
302,botB,0.281,1.463,1.672,36,36
303,botA,0.197,0.613,1.453,36,36
303,botB,0.262,0.684,1.657,36,36
304,botA,0.2,0.276,0.287,36,36
304,botB,0.255,0.938,2.035,36,36
305,botA,0.267,1.532,1.587,36,36
305,botB,0.28,0.425,0.478,36,36
306,botA,0.199,0.27,0.282,36,36
306,botB,0.24,1.721,1.784,36,36
307,botA,0.249,1.402,1.429,36,34
307,botB,0.261,0.342,0.411,34,36
308,botA,0.309,0.783,1.653,36,38
308,botB,0.416,1.003,1.556,38,36
309,botA,0.259,0.724,1.449,36,36
309,botB,0.298,0.942,1.611,36,36
310,botA,0.277,0.783,1.494,36,36
310,botB,0.352,0.828,1.507,36,36
311,botA,0.241,0.686,1.568,36,36
311,botB,0.304,0.943,1.685,36,36
312,botA,0.23,0.558,1.345,36,36
312,botB,0.3,1.019,1.667,36,36
313,botA,0.255,0.737,1.539,36,36
313,botB,0.299,1.064,1.902,36,36
314,botA,0.269,0.692,1.424,36,36
314,botB,0.279,0.897,1.758,34,36
315,botA,0.237,0.639,1.657,36,34
315,botB,0.274,0.737,1.671,36,36
316,botA,0.227,0.265,0.301,36,38
316,botB,0.263,1.508,1.67,38,36
317,botA,0.29,1.702,1.712,36,36
317,botB,0.33,0.468,0.502,36,36
318,botA,0.202,0.348,0.357,36,36
318,botB,0.26,1.547,1.662,36,36
319,botA,0.241,0.684,1.477,36,36
319,botB,0.335,0.802,1.567,36,36
320,botA,0.27,2.146,4.09,36,36
320,botB,0.299,0.622,0.722,36,36
321,botA,0.243,0.565,1.235,36,36
321,botB,0.282,0.791,1.569,36,36
322,botA,0.255,0.423,0.484,36,36
322,botB,0.295,0.83,1.662,36,36
